Title,Analytics View ID,Portal Page URL,Admin Page URL,Report Number,Portal Criteria
Collection adjustment at AR Invoice level,234338000008483052,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal#Collection_adjustment_at_AR_Invoice_level"" target = ""_blank"">Collection adjustment at AR Invoice level</a>",13,"""Customer Invoice Payments"".""PAN"" = "
Private URL testing,234338000040124259,,,12,"""ZA led final test"".""PAN NUmber"" = "
AR Invoice Report - 2,234338000007665998,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal/#Page:AR_Invoices_Report"" target = ""_blank"">AR Invoice Report</a>",11,"""AR Invoice - Query Table"".""PAN"" = "
AR Invoice Report - 1,234338000008770349,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal/#Page:AR_Invoices_Report"" target = ""_blank"">AR Invoice Report</a>",10,"""AR Invoice - Query Table"".""PAN""="
Debit Note Dashboard - 2,234338000007714174,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal/#Page:Debit_Note_Report"" target = ""_blank"">Debit Note Report</a>",9,"""Debit Note Final"".""PAN Number"" ="
Debit Note Dashboard - 1,234338000008731028,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal/#Page:Debit_Note_Report"" target = ""_blank"">Debit Note Report</a>",8,"""Debit Note Final"".""PAN""="
Payment Adjustment at Invoice Level ,234338000005259637,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal/#Page:Payment_adj_Invoice_level_report"" target = ""_blank"">Payment Adjustment at Invoice Level </a>",7,"""Payment Adj Table - Query Table"".""Pan Number"" = "
Payment Report - 2,234338000007714286,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal/#Page:Payment_report"" target = ""_blank"">Payment report</a>",6,"""Payment table Dup"".""Pan Number"" = "
Payment Report - 1,234338000008728576,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal/#Page:Payment_report"" target = ""_blank"">Payment report</a>",5,"""Payment table Dup"".""PAN""="
Invoice Dashboard - 2,234338000007714196,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal#Page:Invoice_Report1"" target = ""_blank"">Invoice Dashboard</a>",4,"""Invoice  Query Table"".""PAN Number"" ="
Invoice Dashboard - 1,234338000008720899,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal#Page:Invoice_Report1"" target = ""_blank"">Invoice Dashboard</a>",3,"""Invoice  Query Table"".""PAN""="
Yearly Summary,234338000007714313,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal#Page:Ledger_Summary_Year_wise_SUM"" target = ""_blank"">Yearly Ledger Summary</a>",2,"""led final test year"".""PAN Number"" = "
ZA Monthly Summary,234338000015375223,,"<a href= ""https://creatorapp.zoho.in/deloittettipl/vendor-portal#Page:Ledger_Summary_Month_wise_SUM"" target = ""_blank"">Monthly Ledger Summary</a>",1,"""ZA led final test"".""PAN NUmber"" = "
